topic_id,topic_abbr,topic,date,standard_id,required_reading,req_chapter,optional_reading,opt_chapter,writing_assignment,project_assignment,slides,link,code
1,introductions,Introductions,1/26/22,20,,,,,,,Course slides are [here](slides/Day1-Intro.html).,,
2,heg-backdrops,Hegemonic Backdrops of Big Data,1/31/22,20;1;12,boydCriticalQuestionsBig2012;,,kitchinBigDataNew2014;leonelliWhatDifferenceDoes2014;onuohaPointCollection2016,,Fill out the Trigger Warnings Questionnaire in Moodle.; Be sure to configure Slack notifications for our course. I also encourage you to download and install a Desktop version of Slack.,Create a GitHub account if you don't have one;Click on the Student Portfolio GitHub Repo in Moodle to create your portfolio,Course slides are [here](slides/Day2-Epstemologies.html),,
3,metaphors,Metaphors of Big Data,2/2/22,2;12,levyCloudOtherDangerous2015;puschmannMetaphorsBigData2014,,watsonMetaphorsBigData,,Acknowledge that you've read and understand the grading contract by completing the Grading Contract Acknowledgement in Moodle; If you haven't yet please be comment on the welcome post in the `sds-237-discussion-threads` channel in our Slack workspace. You are always welcome to post links to relevant articles and/or questions for discussion here.;  Be sure to direct message me in Slack if you would like to lead a class discussion as an enrichment assignment.,Complete course infrastructure set-up by following instructions in the `setting-up-r-environment` directory in your GitHub portfolio,Course slides are [here](slides/Day3-BigDataDiscourse.html) ,[Here](https://www.wired.com/2008/06/pb-theory/) is the article we will engage in today's activity.; Discourse Analysis in Nine Steps is [here](https://github.com/SDS-237-Data-Ethnography/portfolio/blob/main/mini-projects/discourse-analysis/discourse-analysis-worksheet.Rmd).,
4,binary-oppositions,Binary Oppositions in Big Data Discourse,2/7/22,12;21,,,,,DM me if you'd like to lead a class discussion for enrichment,,Course slides are [here](slides/Day4-BinaryOppositions.html),,
5,thick-data,Thick Data for Big Data,2/9/22,18;20;24,fiore-silfvastHackedEthnographicFieldnotes2014;burrellEthnographerCompleteGuide2012,,wangBigDataNeeds2013,,DM me if you'd like to lead a class discussion for enrichment,Fill out CATME Survey,Course slides are [here](slides/Day5-ThickDescription.html),,
6,ethnography,Ethnography in Data Land,2/14/22,18;20,birukCookingDataCulture2018,Introduction,,,,,Course slides are [here](slides/Day6-Reflexivity.html),,
7,looping-effects,Data Looping Effects,2/16/22,25;22,kitchinCriticalDataStudies2014,,hackingMakingPeople2006;urlaCulturalPoliticsAge1993;kristensenCoevolvingSelftrackingTechnologies2018,,,,Course slides are [here](slides/Day7-Looping.html).,,
8,ethics,Ethics of Qualitative Research,2/21/22,11,,,,,Fieldnote 1,Team Contract,Course slides are [here](slides/Day8-ResearchEthics.html).,,
9,documentation,Documenting Datasets,2/23/22,19;24,gebruDatasheetsDatasets2020,,benderDataStatementsNatural2018,,Book a time to discuss first fieldnote with Rose [here](https://calendly.com/revard-1). (First come first serve but will be more opportunities going forward),Get approval for dataset;Register your interest in a workshop for MP1 [here](https://docs.google.com/forms/d/e/1FAIpQLSeCRp121JEM0dWBDafnVjEoSDm2nIhge9iKTk1-ugSO9eo49A/viewform).,Course slides are [here](slides/Day9-DataDocumentation.html),Potential final project datasets are [here](https://docs.google.com/document/d/1WoHetk8FSgdbpkj0jLctJWpwqIr3qIP_hZkWYLHaDfc/edit?usp=sharing).,
10,commensurate,Making Measures Commensurate: Translation and Reductionism,2/28/22,14;3;4;21,birukCookingDataCulture2018,Chapter 1,espelandCommensurationSocialProcess1998;merrySeductionsQuantificationMeasuring2016,,,,Course slides are [here](slides/Day10-Translation.html),,
