topic_id,topic_abbr,reading,chapter
1,introductions,,
2,heg-backdrops,kitchinBigDataNew2014,
2,heg-backdrops,leonelliWhatDifferenceDoes2014,
2,heg-backdrops,onuohaPointCollection2016,
3,metaphors,watsonMetaphorsBigData,
4,binary-oppositions,,
5,thick-data,wangBigDataNeeds2013,
6,ethnography,,
7,looping-effects,hackingMakingPeople2006,
7,looping-effects,urlaCulturalPoliticsAge1993,
7,looping-effects,kristensenCoevolvingSelftrackingTechnologies2018,
8,ethics,,
9,documentation,benderDataStatementsNatural2018,
10,commensurate,espelandCommensurationSocialProcess1998,
10,commensurate,merrySeductionsQuantificationMeasuring2016,
11,infrastructure,lamplandStandardsTheirStories2008,
11,infrastructure,ottingerBucketsResistanceStandards2010,
11,infrastructure,timmermansWorldStandardsNot2010,
12,classifications,bowkerSortingThingsOut1999,
12,classifications,watertonFieldFantasyClassifying2002,
12,classifications,kirkseySpeciesPraxiographicStudy2015,
13,ghost-work,iraniJusticeDataJanitors2015,
13,ghost-work,plantinDataCleanersPristine2019,
13,ghost-work,forsytheConstructionWorkArtificial1993,
14,expertise,gierynCulturalBoundariesScience1999,
15,incentives,,
16,transactions,gerlitzEconomySocialButtons2013,
16,transactions,beerProductiveMeasuresCulture2015,
17,rituals,bowkerBiodiversityDatadiversity2000,
17,rituals,walfordRawDataMaking2017,
17,rituals,pinkMundaneDataRoutines2017,
18,cooking,,
19,mobilizing,pinePoliticsMeasurementAction2015,
19,mobilizing,dourishDataficationDataFiction2018,
20,circulation,batesDataJourneysCapturing2016,
20,circulation,leonelliPackagingSmallFact2010,
21,citizen-science,calvilloPoliticalAirsMonitoring2018,
21,citizen-science,jalbertSenseInfluenceEnvironmental2016,
22,activism,brunoStatactivismFormsAction2014,
22,activism,milanAlternativeEpistemologiesData2016,
22,activism,currieConundrumPoliceOfficerinvolved2016,
23,ignorance,dignazioDataFeminism2020,
24,power,brayneBigDataSurveillance2017,
24,power,christinEthnographerAlgorithmBlack2020,
24,power,seaverAlgorithmsCultureTactics2017,
25,final1,,
26,final2,,
